,cloudiness,humidity,lat,temp,wind speed
0,0,70,51.2,45.73,14.99
1,64,92,64.18,30.2,3.6
2,40,58,47.35,55.4,4.7
3,24,54,-23.37,73.93,19.71
4,75,66,14.92,82.98,3.36
5,0,84,38.12,35.14,8.97
6,92,86,48.31,39.2,8.05
7,8,79,53.92,24.34,3.27
8,0,34,36.7,30.37,4.05
9,88,91,-7.16,81.76,4.27
10,90,78,19.35,73.4,12.75
11,76,83,53.28,9.8,4.72
12,20,83,18.23,77.0,10.76
13,5,44,19.16,47.86,3.36
14,90,78,-29.28,73.4,17.22
15,0,99,52.5,28.57,5.28
16,75,75,51.28,45.27,17.22
17,90,99,53.99,32.72,6.93
18,0,75,43.65,41.0,4.7
19,90,80,42.21,31.28,17.22
20,40,55,28.17,60.69,31.09
21,0,46,31.14,50.0,8.95
22,90,92,58.27,31.1,10.29
23,0,93,22.81,51.8,5.95
24,0,47,31.2,51.38,3.71
25,20,63,36.04,62.6,16.11
26,44,85,59.91,24.8,10.29
27,90,92,61.78,27.41,2.82
28,75,91,53.62,32.94,8.05
29,0,81,14.63,50.0,16.11
30,20,79,-8.7,84.2,11.41
31,0,54,49.89,52.48,8.05
32,0,72,25.68,68.0,3.94
33,0,74,15.63,71.32,4.16
34,1,73,41.79,26.62,2.82
35,40,58,17.03,86.0,6.93
36,1,38,33.97,61.38,2.26
37,75,99,50.69,34.0,12.75
38,90,67,39.99,38.28,23.04
39,5,44,19.8,41.0,3.36
40,40,69,41.52,39.2,9.17
41,75,100,46.08,34.52,2.24
42,1,48,39.36,30.67,3.49
43,0,79,40.01,35.9,12.44
44,1,87,36.67,43.07,3.71
45,92,99,-20.98,64.21,1.7
46,90,80,42.12,31.51,17.22
47,90,93,49.44,40.17,8.05
48,90,63,42.89,28.38,2.37
49,92,89,50.88,37.93,7.4
50,90,100,40.84,21.2,4.7
51,20,87,-34.18,55.4,1.12
52,90,97,46.42,32.0,38.03
53,1,74,39.42,33.8,6.06
54,75,86,49.9,31.24,14.99
55,0,71,31.15,48.23,14.79
56,0,69,40.57,35.6,3.36
57,76,92,-6.72,84.41,7.4
58,24,53,-38.67,71.68,10.65
59,76,83,53.2,9.8,4.72
60,0,70,51.23,44.6,14.99
61,20,93,40.22,41.0,2.24
62,32,85,-2.51,80.59,3.94
63,90,96,54.28,32.0,6.71
64,56,99,38.62,36.94,8.08
65,0,91,48.92,34.02,6.93
66,75,86,46.9,35.64,11.41
67,24,51,29.07,47.15,4.94
68,92,99,42.94,39.68,2.26
69,32,84,-3.0,56.51,2.71
70,12,93,-24.85,78.65,19.71
71,0,51,45.9,60.76,19.46
72,75,79,9.33,86.0,2.59
73,44,38,10.4,69.65,8.75
74,76,91,-8.29,78.38,2.59
75,92,95,54.15,29.83,7.52
76,40,93,50.03,33.78,9.17
77,92,51,46.35,60.96,23.04
78,40,93,37.75,48.2,4.7
79,75,100,53.98,41.0,6.93
80,75,80,46.21,40.1,2.24
81,0,92,47.2,31.44,4.7
82,0,55,38.0,60.62,33.33
83,0,88,-33.58,72.04,17.58
84,92,100,26.72,45.76,6.96
85,12,91,10.9,64.79,2.71
86,92,72,43.65,60.8,13.87
87,48,92,59.33,29.37,11.41
88,40,59,-3.63,91.4,5.82
89,68,66,48.2,-1.05,4.16
90,0,100,45.28,34.99,5.82
91,75,100,45.5,35.22,6.93
92,0,90,25.47,62.0,4.72
93,76,91,-8.59,78.38,2.59
94,40,95,50.7,33.8,11.41
95,92,86,48.53,39.2,8.05
96,88,92,57.0,33.2,17.02
97,75,86,49.68,33.8,14.99
98,75,89,53.0,35.31,9.17
99,40,88,-20.3,78.8,2.24
100,75,100,45.67,34.86,6.93
101,1,85,43.73,23.77,4.16
102,40,100,49.88,32.67,17.22
103,75,81,45.78,57.25,2.24
104,36,90,7.12,83.74,3.94
105,90,94,52.37,35.22,16.11
106,76,41,34.91,39.2,11.18
107,56,100,55.13,30.92,5.82
108,0,88,21.85,70.51,4.38
109,88,95,58.95,30.64,4.72
110,76,77,-21.53,60.8,1.92
111,90,65,38.49,43.97,19.46
112,0,100,53.22,20.05,5.82
113,32,100,-1.95,71.45,2.59
114,68,83,56.87,-14.81,2.59
115,0,90,41.86,27.53,3.6
116,0,100,51.19,29.01,2.24
117,20,86,45.33,37.4,11.18
118,75,20,23.17,46.4,5.82
119,92,99,53.86,32.74,11.41
120,90,97,47.67,34.79,8.05
121,90,86,45.33,39.24,5.5
122,0,56,30.86,51.43,5.84
123,32,42,-44.0,63.49,14.12
124,0,93,45.37,37.49,5.82
125,75,91,53.68,32.0,8.05
126,20,76,36.62,49.14,11.41
127,1,21,35.81,49.3,6.93
128,0,81,14.92,50.0,16.11
129,0,92,41.08,32.89,10.65
130,90,74,40.62,35.13,11.41
131,0,92,53.71,30.16,10.29
132,20,55,-18.95,86.0,19.46
133,90,61,45.54,13.37,8.05
134,90,56,37.9,45.82,20.8
135,12,94,-17.83,62.32,2.71
136,90,96,50.55,34.66,14.99
137,20,76,36.91,43.38,11.41
138,56,39,-34.13,67.81,14.23
139,12,39,42.42,66.2,8.05
140,75,75,50.6,41.0,21.92
141,75,93,47.91,39.2,6.93
142,20,87,44.11,52.25,27.51
143,1,80,44.94,30.52,4.7
144,90,93,44.22,38.7,6.93
145,90,80,42.23,30.88,17.22
146,0,96,39.57,35.41,11.1
147,20,62,13.72,87.8,5.82
148,90,93,50.02,34.12,14.99
149,12,83,42.13,28.12,7.29
150,75,75,50.95,42.8,21.92
151,88,98,-16.78,71.0,3.83
152,0,35,32.93,55.4,8.05
153,64,100,18.32,78.38,8.63
154,40,86,54.55,41.0,13.42
155,0,86,41.5,38.95,9.17
156,75,75,51.73,45.7,17.22
157,0,100,40.09,15.29,16.24
158,75,100,46.86,36.73,11.41
159,90,85,42.95,24.8,6.93
160,75,93,45.23,46.44,8.05
161,32,92,53.38,31.1,8.05
162,0,69,54.35,26.68,3.94
163,64,92,42.63,46.93,9.19
164,40,100,43.01,39.25,1.12
165,0,92,51.68,30.76,5.82
166,92,100,42.33,40.63,3.27
167,75,85,45.36,35.24,2.24
168,88,97,53.38,38.33,11.65
169,75,54,37.87,48.04,3.36
170,0,90,42.27,30.73,7.29
171,20,85,-38.23,68.66,3.71
172,80,97,-18.67,43.96,1.03
173,0,95,48.92,34.09,6.93
174,75,79,44.06,26.6,2.24
175,90,100,60.07,33.8,8.05
176,0,84,20.3,45.13,2.15
177,76,100,43.8,41.47,3.36
178,75,90,52.23,33.8,12.75
179,90,82,-32.85,58.06,8.05
180,8,49,25.75,56.02,2.71
181,20,93,40.09,41.0,2.24
182,92,68,24.62,61.42,4.61
183,88,100,-6.47,74.33,3.15
184,0,77,45.75,20.51,3.04
185,75,93,48.3,39.2,6.93
186,36,89,52.58,48.01,17.25
187,88,90,52.38,37.88,12.77
188,75,94,51.75,33.26,14.99
189,0,80,46.18,35.15,6.93
190,92,98,59.36,32.0,6.93
191,12,41,-41.53,77.0,10.29
192,1,71,31.12,46.99,9.17
193,75,96,50.08,31.95,12.75
194,88,100,8.18,77.26,2.37
195,20,92,55.33,23.07,5.82
196,8,60,-37.23,58.63,11.21
197,76,100,33.59,34.87,2.48
198,90,92,55.9,29.61,8.95
199,92,93,43.23,40.42,12.75
200,36,62,25.38,52.73,3.71
201,40,71,49.09,47.93,13.87
202,92,81,35.13,48.78,4.7
203,0,93,53.57,42.8,10.29
204,76,100,13.74,79.06,5.73
205,36,77,-1.17,84.5,4.83
206,75,93,48.55,39.2,8.05
207,75,86,49.76,32.9,14.99
208,75,75,50.93,41.0,21.92
209,92,93,25.22,52.87,10.87
210,88,93,54.93,28.93,12.33
211,1,50,33.43,42.12,8.05
212,0,47,25.53,55.25,3.71
213,90,97,50.15,33.82,8.05
214,0,71,18.02,45.76,2.04
215,20,62,51.56,55.4,19.46
216,64,86,44.34,40.39,3.36
217,40,100,49.75,33.44,17.22
218,8,70,40.19,23.26,2.26
219,90,97,54.08,32.0,6.71
220,88,49,-21.36,71.54,6.29
221,20,83,45.26,30.95,6.73
222,0,91,41.43,30.64,7.52
223,75,70,47.05,39.72,8.05
224,8,89,41.59,30.37,8.19
225,40,69,48.83,38.07,24.16
226,64,74,54.91,6.2,2.93
227,90,100,43.25,19.4,4.47
228,90,87,46.19,52.02,10.42
229,0,81,52.42,44.6,13.87
230,75,75,45.93,38.52,2.24
231,68,82,-7.45,80.0,3.94
232,0,92,47.31,29.57,7.29
233,75,100,15.03,64.4,1.7
234,8,68,46.7,40.4,5.95
235,0,79,39.94,35.9,12.44
236,8,67,-38.25,65.78,5.73
237,8,100,41.52,32.3,10.2
238,40,49,37.98,46.4,14.99
239,88,100,14.22,77.53,13.78
240,5,44,19.29,48.22,3.36
241,0,58,-4.59,84.2,9.17
242,40,87,16.78,59.0,1.92
243,75,87,45.74,45.43,4.7
244,40,100,50.3,31.17,17.22
245,92,96,53.93,39.64,14.79
246,20,93,39.61,46.4,1.12
247,92,93,43.17,39.13,3.36
248,8,39,42.1,66.2,8.05
249,90,93,44.39,39.09,6.93
250,12,98,15.32,40.59,0.6
251,90,98,46.05,32.0,38.03
252,64,91,21.07,69.84,9.55
253,0,51,30.77,55.8,4.41
254,40,69,41.35,42.82,9.17
255,75,66,7.13,89.6,4.7
256,75,100,46.72,37.4,5.82
257,75,93,21.22,59.0,4.7
258,80,97,56.39,27.85,4.18
259,75,74,47.24,38.84,18.34
260,88,98,54.2,28.75,10.45
261,0,75,46.92,46.4,11.41
262,75,100,36.97,30.2,14.99
263,90,86,44.87,37.4,4.07
